,gene_1,gene_2,HG_pval,rank
4440,NR3C1_negation,PARP1_negation,2.2747769625415958e-10,352
2823,POU2F2,GATA1_negation,2.492611992302841e-10,353
1311,FOS,SNAI2_negation,2.492611992302841e-10,354
2422,NCOA6,PPARD,3.0749115971804457e-10,355
2486,NFYB,PPARD,3.0749115971804457e-10,356
131,AHR,PPARD,3.0749115971804457e-10,357
2291,MITF,PPARD,3.0749115971804457e-10,358
4527,SNAI2_negation,STAT1_negation,3.0749115971804457e-10,359
2942,PPARD,HMGN1_negation,3.0749115971804457e-10,360
2953,PPARD,RB1_negation,3.0749115971804457e-10,361
4219,FOSL2_negation,NR3C1_negation,3.268228446360026e-10,362
1292,FOS,FOSB_negation,3.268228446360026e-10,363
4035,EGR1_negation,EZH2_negation,3.80843110226027e-10,364
3491,TFAP2A,DDIT3_negation,3.80843110226027e-10,365
591,CEBPE,RFXAP,4.4023794507794504e-10,366
61,ABL1,DDIT3_negation,4.988659174638279e-10,367
2966,RBMX,RFX5,4.991482538967766e-10,368
3172,RFX5,RUNX1_negation,4.991482538967766e-10,369
3499,TFAP2A,GATA1_negation,4.991482538967766e-10,370
2331,MITF,NFIC_negation,5.127333982385638e-10,371
4037,EGR1_negation,FOSL2_negation,5.127333982385638e-10,372
4332,HMGN1_negation,NFIC_negation,5.127333982385638e-10,373
2526,NFYB,NFIC_negation,5.127333982385638e-10,374
2218,MEF2D,NPM1,5.127333982385638e-10,375
4413,NFIC_negation,RB1_negation,5.127333982385638e-10,376
2462,NCOA6,NFIC_negation,5.127333982385638e-10,377
171,AHR,NFIC_negation,5.127333982385638e-10,378
1471,GATA2,SP3_negation,5.254543904223918e-10,379
4298,HDAC3_negation,SNAI2_negation,6.186890836599238e-10,380
450,ATF4,PARP1_negation,6.239045565233762e-10,381
15,ABL1,GATA2,6.239045565233762e-10,382
4014,DDIT3_negation,NFIC_negation,6.592417206056041e-10,383
3214,RFXAP,MEF2A_negation,6.723418883176632e-10,384
4191,FOSB_negation,NFIC_negation,6.923953593387376e-10,385
3171,RFX5,RB1_negation,7.451958301265557e-10,386
2426,NCOA6,RFX5,7.451958301265557e-10,387
135,AHR,RFX5,7.451958301265557e-10,388
2295,MITF,RFX5,7.451958301265557e-10,389
2490,NFYB,RFX5,7.451958301265557e-10,390
3160,RFX5,HMGN1_negation,7.451958301265557e-10,391
1267,FOS,RFXAP,7.656061695538352e-10,392
1093,ETS1,NPM1,7.851063726281421e-10,393
3156,RFX5,GATA1_negation,7.996074556525614e-10,394
4158,EZH2_negation,HDAC3_negation,7.996074556525614e-10,395
616,CEBPE,FOSB_negation,8.896948408845763e-10,396
3155,RFX5,FOSL2_negation,9.079377016126696e-10,397
2940,PPARD,HDAC3_negation,1.074185159669066e-09,398
3210,RFXAP,HDAC3_negation,1.0787342421297036e-09,399
3323,SP2,PTTG1_negation,1.081460130794209e-09,400
3299,SP2,CREM_negation,1.081460130794209e-09,401
3867,CEBPA_negation,FOSL2_negation,1.081460130794209e-09,402
2752,POU2AF1,CEBPA_negation,1.081460130794209e-09,403
3871,CEBPA_negation,HIF1A_negation,1.081460130794209e-09,404
4201,FOSB_negation,SP3_negation,1.081460130794209e-09,405
274,ARNT,SP3_negation,1.081460130794209e-09,406
3873,CEBPA_negation,HOXA9_negation,1.081460130794209e-09,407
1201,FLI1,CEBPA_negation,1.081460130794209e-09,408
