gene_1,mHG_stat,mHG_pval,mHG_cutoff,cutoff_val,t_stat,t_pval,w_stat,w_pval,Log2FoldChange,Log2FoldChangeAbs,TP,TN,q_value
NPM1,3.813719462654376e-37,9.285116965105315e-36,84,0.251,11.801303387703847,1.2237602439301646e-21,9.061121107941217,1.2911655443174307e-19,0.35514861056903263,0.35514861056903263,0.616822429906542,0.9541984732824428,1.454668324533166e-33
NPM1_negation,1.0,1.0,0,-0.249,-11.801303387703847,1.2237602439301646e-21,-9.061121107941217,1.2911655443174307e-19,0.3551510726865396,0.3551510726865396,0.0,1.0,1.0
NR1I2,0.9999999866037976,0.9999999989150293,0,0.376,-2.816374175925061,0.005699972806772915,-1.459998232826277,0.14429055961020879,-0.07789795874516794,0.07789795874516794,0.0,1.0,1.0
NR1I2_negation,0.633209096608907,0.8782240524888363,25,-0.374,2.816374175925061,0.005699972806772915,1.459998232826277,0.14429055961020879,-0.07789839149579045,0.07789839149579045,0.12149532710280374,0.9694656488549618,1.0
NR3C1,0.999105874483859,0.9999454895709595,37,0.501,-4.8023506493644526,3.451595942308713e-06,-4.436221045517114,9.155183951879373e-06,-0.25787756754442287,0.25787756754442287,0.056074766355140186,0.9211195928753181,1.0
NR3C1_negation,4.2652705839002056e-08,6.714435898491555e-07,202,-0.374,4.8023506493644526,3.451595942308713e-06,4.436221045517114,9.155183951879373e-06,-0.2578789568218311,0.2578789568218311,0.6355140186915887,0.6590330788804071,9.861827725909472e-06
NR4A1,0.18428406950627976,0.45285035924293127,98,0.501,-0.5546056696000436,0.5798755482017184,-0.37207502134058135,0.7098369934417703,-0.02221720077746384,0.02221720077746384,0.17757009345794392,0.7989821882951654,1.0
NR4A1_negation,0.9959008230894598,0.999693013025087,0,-0.499,0.5546056696000436,0.5798755482017184,0.37207502134058135,0.7098369934417703,-0.022217278601255438,0.022217278601255438,0.0,1.0,1.0
NR5A1,0.9999999659917348,0.9999999973594395,0,0.501,-7.828808572295589,2.790148637467987e-13,-5.781879794097756,7.387048607659084e-09,-0.38097979697158574,0.38097979697158574,0.0,1.0,1.0
NR5A1_negation,0.0006251706164615585,0.00503720690608903,0,-0.249,7.828808572295589,2.790148637467987e-13,5.781879794097756,7.387048607659084e-09,-0.3809820187723387,0.3809820187723387,0.0,1.0,0.036658004171658556
NRF1,0.9999946374748857,0.9999997372212238,54,0.626,-3.1057164212263864,0.002199009494190671,-2.6815061882821207,0.007329155886581251,-0.06801886391397177,0.06801886391397177,0.06542056074766354,0.8804071246819338,1.0
NRF1_negation,0.014647608315944197,0.07158932129160338,0,-0.499,3.1057164212263864,0.002199009494190671,2.6815061882821207,0.007329155886581251,-0.06801910388449843,0.06801910388449843,0.0,1.0,0.41032903667138526
PARP1,0.9999916098771224,0.9999995904651474,61,0.501,-4.361493137897957,2.2744560648808406e-05,-4.263768424064127,2.0100776883133766e-05,-0.4261184012244824,0.4261184012244824,0.056074766355140186,0.8600508905852418,1.0
PARP1_negation,2.344909156359748e-07,3.512658001994593e-06,184,-0.374,4.361493137897957,2.2744560648808406e-05,4.263768424064127,2.0100776883133766e-05,-0.4261209689012753,0.4261209689012753,0.5327102803738317,0.6768447837150128,4.855733120404291e-05
PAX3,0.999999840744564,0.9999999900633888,0,0.626,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PAX3_negation,0.999999840744564,0.9999999900633888,0,-0.624,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PAX5,0.999999987273544,0.9999999989418311,99,0.501,-3.654792952042609,0.0003283220735282558,-2.873581427493435,0.004058464435619389,-0.11263032544283705,0.11263032544283705,0.11214953271028037,0.7786259541984732,1.0
PAX5_negation,0.0026847370026608143,0.01793638802029019,0,-0.374,3.654792952042609,0.0003283220735282558,2.873581427493435,0.004058464435619389,-0.11263081229012713,0.11263081229012713,0.0,1.0,0.11873383619065336
PER1,0.713382235866336,0.9180538333907549,101,0.126,-0.4460398580207596,0.6561270194835698,-0.30452793328787947,0.760725714964021,-0.039752872217709775,0.039752872217709775,0.18691588785046728,0.7938931297709924,1.0
PER1_negation,0.9999993515107916,0.9999999658133206,0,-0.124,0.4460398580207596,0.6561270194835698,0.30452793328787947,0.760725714964021,-0.03975332887220187,0.03975332887220187,0.0,1.0,1.0
PGR,0.999999667059519,0.9999999799642655,133,0.251,-5.4760083786284035,1.3096934134079585e-07,-4.60188122236145,4.186919643727846e-06,-0.3544835734781832,0.3544835734781832,0.11214953271028037,0.6921119592875318,1.0
PGR_negation,1.970115152898427e-05,0.00021719512031065935,0,-0.124,5.4760083786284035,1.3096934134079585e-07,4.60188122236145,4.186919643727846e-06,-0.3544867200837666,0.3544867200837666,0.0,1.0,0.0021267022197085394
PIAS1,0.9999999265761642,0.9999999950218393,92,0.376,-5.3214465741430965,1.9840869388850134e-07,-2.582638383422859,0.009804803209222376,-0.20678388101343886,0.20678388101343886,0.056074766355140186,0.7811704834605598,1.0
PIAS1_negation,0.9999994846649699,0.9999999712783322,0,-0.374,5.3214465741430965,1.9840869388850134e-07,2.582638383422859,0.009804803209222376,-0.20678485391591986,0.20678485391591986,0.0,1.0,1.0
PITX1,1.0,1.0,0,0.876,-4.119223703538833,5.8929814604793835e-05,-3.449429787093564,0.0005617718018070739,-0.10586024504916564,0.10586024504916564,0.0,1.0,1.0
PITX1_negation,1.2042240264374402e-06,1.688405283835294e-05,0,-0.624,4.119223703538833,5.8929814604793835e-05,3.449429787093564,0.0005617718018070739,-0.10586053104511409,0.10586053104511409,0.0,1.0,0.00019354889839087513
